segment_id,window_type,source_run,adsc_lat_min,adsc_lat_max,adsc_lon_min,adsc_lon_max
20250115_4076e8_025617_040707,day-window (old),step1_raw_20250114_20250115,3.9531898498535156,13.299293518066406,-32.29156494140625,-26.946372985839844
20250115_407f2b_021024_041917,day-window (old),step1_raw_20250114_20250115,10.891742706298828,27.726573944091797,-33.24943542480469,-24.156360626220703
20250115_4080b6_010723_032417,day-window (old),step1_raw_20250114_20250115,9.418716430664062,29.219512939453125,3.4534835815429688,3.6359596252441406
20250115_484371_013533_031135,day-window (old),step1_raw_20250114_20250115,-17.81209945678711,-5.650234222412109,11.432476043701172,15.915069580078125
20250115_4aca63_225248_004350,day-window (old),step1_raw_20250114_20250115,32.69205093383789,39.72759246826172,55.20801544189453,69.69881057739258
20250115_77058d_000943_001831,day-window (old),step1_raw_20250114_20250115,16.974220275878906,17.644901275634766,63.8551139831543,64.82431411743164
20250115_aac33e_211055_214949,day-window (old),step1_raw_20250114_20250115,29.114456176757812,31.71924591064453,-32.03733444213867,-26.929893493652344
20250214_346386_164031_185849,day-window (old),step1_raw_20250214_20250215,27.873516082763672,34.57620620727539,-35.63192367553711,-16.912593841552734
20250214_396441_184511_192335,day-window (old),step1_raw_20250214_20250215,20.67626953125,23.10373306274414,61.660423278808594,66.96390151977539
20250214_3965b3_214005_014847,day-window (old),step1_raw_20250214_20250215,-15.79885482788086,12.658138275146484,0.00789642333984375,19.577465057373047
20250214_3c4b24_211954_230530,day-window (old),step1_raw_20250214_20250215,-15.312538146972656,-1.3188743591308594,17.71322250366211,22.720584869384766
20250214_405bfb_203747_015336,day-window (old),step1_raw_20250214_20250215,-28.54745864868164,12.52716064453125,-0.020771026611328125,14.684257507324219
20250214_4b18fc_221405_001346,day-window (old),step1_raw_20250214_20250215,-16.715011596679688,-1.498260498046875,16.96065902709961,21.990337371826172
20250214_4bb0e5_211201_013458,day-window (old),step1_raw_20250214_20250215,-12.358760833740234,21.386089324951172,32.25517272949219,38.13474655151367
20250214_800c3e_184957_214314,day-window (old),step1_raw_20250214_20250215,67.31271743774414,75.2178955078125,-16.994991302490234,53.70014190673828
